triggers	path	source	verified
connected-app, connected app is the oauth2 client side and one token cache row holds one user's token, whose expiry is measured from the row's modified timestamp rather than from when the token was issued, ConnectedApp.validate, get_oauth2_session, initiate_web_application_flow, get_user_token, get_token_cache, get_scopes, get_query_params, get_active_token, get_backend_app_token, get_openid_configuration, callback, client_id, client_secret, redirect_uri, authorization_uri, token_uri, revocation_uri, userinfo_uri, introspection_uri, openid_configuration, scopes, query_parameters, TokenCache.get_auth_header, update_data, get_expires_in, is_expired, get_json, autoname, access_token, refresh_token, expires_in, state, success_uri, token_type, authorize, get_token, revoke_token, openid_profile, introspect_token, Token Cache, Please enter OpenID Configuration URL, Invalid Parameters., Invalid token state! Check if the token has been created by the OAuth user., oauth2 client credentials, connected app token expiry, the token looks fresh but the other system keeps rejecting it, our access token expires way earlier than it should, why does the saved token suddenly say it is still valid when it is dead, the stored token clock resets every time we touch the record, the integration silently stops working and nothing is in the error log, getting a none instead of a token and the next line blows up, why did my refresh come back empty with no error, the scheduled job just returns a login url instead of doing the work, background job tries to send the user to a sign in page, the callback url i typed keeps getting overwritten when i save, i set the redirect address and it changed itself back, which side do i use when another system wants to log into us, my extra login parameters are ignored by the provider, my database changes got committed halfway through the login flow, connected app	knowledge/api/connected-app.md	-	-
credential-storage, a password field moves the value into __auth on save and leaves a mask of asterisks in the row, reading the field directly returns the mask and frappe.db.set_value writes the secret in clear text, BaseDocument._save_passwords, get_password, is_dummy_password, get_decrypted_password, set_encrypted_password, remove_encrypted_password, encrypt, decrypt, get_encryption_key, Database.set_value, set_single_value, Please check the value of, Most probably your password is too long., Encryption key is in invalid format!, how does frappe store passwords, password field encryption, the password field just shows a row of stars when i read it, reading the secret back gives me asterisks instead of the real value, why does my api key come back as stars in code, the check that the key is filled passes even though it is garbage, our secret is sitting in the database in plain text for anyone to read, the api key is visible in the table and i never put it there, how did the password end up unencrypted in the database, everything works fine but i think the secret is stored wrong, after restoring a copy of the site every secret fails to decrypt, moved the site to a new server and now all the passwords are broken, why did all our stored keys stop working after the restore, i cleared the field but the old secret is still there, deleting the credential does not actually remove it, the integration library errors instead of telling me the key is missing, credential storage	knowledge/api/credential-storage.md	-	-
inbound-verification, verify_request authenticates a signed get link and refuses any request carrying a body, frappe verifies no inbound webhook and the app has to write that check itself, get_signed_params, get_secret, verify_request, _sign_message, get_url, get_signature, verify_using_doc, auth_webhook, PushNotification._get_credential, HTTPRequest.validate_csrf_token, UNSAFE_HTTP_METHODS, make_form_dict, get_request_form_data, Invalid Request, Login with username and password is not allowed., Login not allowed at this time, verify an incoming webhook request, signed request verification, the incoming webhook always fails the signature check, we get an invalid link page instead of a webhook response, why does the built in check reject every post we receive, our signature never matches even though the secret is right, the digest only matches sometimes depending on the payload, anyone can post to our endpoint and we accept it, is there anything stopping a stranger from faking a callback to us, the receiving endpoint takes any payload without checking who sent it, outside calls get blocked with a token error before reaching our code, the provider gets a 403 when it tries to notify us, how do i prove an incoming call really came from the provider, rejected calls leave no trace so we cannot debug them, the header the provider sends is never validated on our side, inbound verification	knowledge/api/inbound-verification.md	-	-
integration-request, integration request is the outbound call log and only create_request_log writes it, a call made through make_request leaves no row unless the caller opens one itself, create_request_log, get_json, IntegrationRequest.autoname, update_status, handle_success, handle_failure, clear_old_logs, status, integration_request_service, is_remote_request, request_description, request_id, default_log_clearing_doctypes, log an outgoing api call, integration request log, we make outgoing calls but nothing shows in the log, there is no record of the request we just sent out, why is the outgoing call history empty, our api keys are visible to anyone who opens the call history, the logs contain the secret we send in the headers, old call records disappear after a few months, the log rows vanished and i needed them for an audit, staff cannot create or edit these log entries from the screen, the provider calls back and we cannot find the matching request, when they send the same callback twice we get two rows and wrong numbers, how do i keep a trace when the call crashes halfway, my transaction got committed early because of the logging, the failure handler cannot save the row because validation fires, integration request	knowledge/api/integration-request.md	-	-
integration-settings, eight settings doctypes in frappe hold an outbound credential and google drive is the one that keeps both oauth values as data, its refresh token sits in tabsingles in clear text, DropboxSettings.onload, get_dropbox_settings, set_dropbox_token, S3BackupSettings.validate, take_backup, LDAPSettings.validate, connect_to_ldap, get_file_picker_settings, GoogleOAuth.validate_google_settings, authorize, refresh_access_token, get_google_service_object, handle_response, get_access_token, authorize_access, get_google_drive_object, GoogleCalendar.get_access_token, google_callback, GoogleContacts.get_access_token, get_google_contacts_object, PushNotificationSettings.validate_relay_server_setup, PushNotification._get_credential, auth_webhook, get_google_indexing_object, Dropbox Settings, S3 Backup Settings, Ldap Settings, Google Settings, Google Drive, Google Calendar, Google Contacts, Push Notification Settings, Website Settings, Number of DB backups cannot be less than 1, Queued for backup. It may take a few minutes to an hour., Ensure the user and group search paths are correct., which doctypes store an api credential, oauth settings doctype, the google refresh token is stored in plain text in our database, a stored cloud credential is readable straight from the table, why is the token not encrypted like the other password fields, the drive upload works for an hour then stops until we reconnect, backups to the cloud fail every day with an expired credential, we have to reauthorize the connection over and over, saving the settings page hangs and then throws a bucket error, the settings screen makes a network call every time i save it, the directory login says wrong username or password but the password is right, the sign in test fails for a reason that has nothing to do with the password, the check says the credential is set but the connection still fails, which screens actually hold our external keys, the file storage keys are blank in the form but uploads still work, enabling push notifications refuses to save, integration settings	knowledge/api/integration-settings.md	-	-
outbound-http, every make_*_request call shares one session whose retry list is [500] with no backoff, a 429 or a 503 raises on the first response and a 500 is repeated five times in a burst, make_request, make_get_request, make_post_request, make_put_request, make_patch_request, make_delete_request, get_request_session, call an external api and retry, http request retry and backoff, the outside service says we are sending too many requests, we keep getting rate limited when calling a partner api, why does one failed call turn into six calls to the vendor, our integration hammers their server the moment it goes down, the call to the other system fails instantly instead of trying again, why does a temporary outage of the provider break my call right away, the gateway is down and we give up on the first try, the request comes back empty and my code treats it as an error, how do i tell an empty successful reply from a failed one, nothing came back from the outside call but there was no error, the error log fills up with the same outbound failure over and over, a call to another system throws and nobody catches it, outbound http	knowledge/api/outbound-http.md	-	-
rest-routes, v1 answers at both /api and /api/v1 while v2 names the path segment document instead of resource, /api/v2/resource matches no url rule and raises doesnotexisterror, API_URL_MAP, ApiVersion, get_api_version, handle, url_rules, document_list, create_doc, read_doc, update_doc, delete_doc, execute_doc_method, handle_rpc_call, get_request_form_data, copy_doc, run_doc_method, get_meta, count, PERMISSION_MAP, get_list, Not permitted, Cannot edit standard fields, frappe rest api endpoints, api v1 vs api v2, the api says the document does not exist but i can see it in the list, why do i get a not found for a record that is definitely there, the new api version returns nothing for a url that worked before, our integration only ever gets twenty rows back, the list endpoint stops at twenty records no matter what i ask for, how do i get more than the first page from the api, deleting a child row over the api leaves the parent wrong, removing a table line through the api does not update the parent total, the api rejects my update because i used the wrong request type, updating a record over the api fails but creating one works, how do i copy a record or get its field list over the api, the api lets someone read a record they should not see, rest routes	knowledge/api/rest-routes.md	-	-
webhook, a doc event appends to a request-local queue that flushes after commit, the worker makes three attempts and swallows the third failure, the webhook request log row is the only surviving evidence, get_all_webhooks, run_webhooks, _add_webhook_to_queue, flush_webhook_execution_queue, Webhook.validate, Webhook.on_update, validate_docevent, validate_secret, enqueue_webhook, log_request, get_webhook_headers, get_webhook_data, get_context, get_all_queues, WEBHOOK_SECRET_HEADER, webhook_docevent, request_method, request_structure, is_dynamic_url, enable_security, webhook_secret, timeout, background_jobs_queue, url, headers, response, data, user, reference_document, error, Document.run_method, Document.clear_cache, global_cache_keys, default_log_clearing_doctypes, Webhook Request Log, DocType must be Submittable for the selected Doc Event, Check Request URL, Same Field is entered more than once, webhook not firing, call an external service on document change, the webhook never fires when a new record is created, why does my outgoing notification only work on edits and not on new records, nothing is sent to the other system when a document is added, i turned the webhook off and it still keeps sending, the outgoing call keeps firing after i disabled it in the settings, why does the rule still run after i deleted it, no calls went out for the records the import created, the other system never heard about the rows a migration wrote, why did the bulk upload not trigger any outgoing messages, the receiving side says the signature does not match, our partner rejects our payload as untrusted even though the secret is right, the job finished fine but the other system never got the message, the outgoing call gives up after a few tries and nobody is told	knowledge/api/webhook.md	-	-
whatsapp, whatsapp exists in erpnext as two data fields on lead and opportunity and nothing else, the notification channel field offers no whatsapp option, sending a message is an outbound integration to build, Lead.whatsapp_no, get_lead_with_phone_number, whatsapp_no, Opportunity.whatsapp, Notification.channel, send_notification_by_channel, Lead, Opportunity, Notification, A Lead requires either a person, Lead Owner cannot be same as the Lead Email Address, send a whatsapp message from erpnext, whatsapp integration, there is no whatsapp option in the notification setup, why can i not pick whatsapp when setting up an alert, how do i send a whatsapp message to a customer from the system, i filled the whatsapp number field but no message ever goes out, the whatsapp field is there so why does nothing send, we want automatic whatsapp messages when a deal changes stage, adding whatsapp to the alert channel list does nothing, how do i connect a whatsapp provider to the system, is whatsapp messaging built in or do we have to build it, the alert goes out by email but never by whatsapp	knowledge/api/whatsapp.md	-	-
whitelisted-method, /api/method checks membership in the whitelist and the request verb and nothing else, an _api server script returns above even those two checks, handle, execute_cmd, run_server_script, is_valid_http_method, upload_file, handle_rpc_call, run_doc_method, whitelist, is_whitelisted, override_whitelisted_method, allowed_http_methods_for_whitelisted_func, only_for, get_server_script_map, get, getpage, is_permitted, Server Script, Page, Not permitted, expose a python method to the api, whitelist decorator, anyone who is logged in can call our custom endpoint, why can a normal user run a function that only managers should run, how do i limit who is allowed to call a custom endpoint, the endpoint returns data the user has no permission to see, our custom function skips the record permission checks, the code that answers the url is not the code i am looking at, i edited the function but the api still returns the old behaviour, a method marked for post only is being reached with a get, why does the request type restriction not apply from a background job, an anonymous visitor can open a page that should require login, someone not signed in can pull our page definition, how do i expose a python function safely to outside callers, whitelisted method	knowledge/api/whitelisted-method.md	-	-
